MolID	1	2	3	4	5	6	7	8	9	10	11	12	13	14
402	nan	nan	nan	nan	nan	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
596	nan	0.704570	0.688200	0.591270	0.771990	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
661	nan	0.704570	0.688200	0.591270	0.771990	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
662	nan	0.704570	0.688200	0.591270	0.771990	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
27	nan	nan	nan	nan	nan	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
95	nan	nan	nan	nan	nan	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
97	nan	0.704570	0.688200	0.591270	0.771990	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
677	nan	0.704570	0.688200	0.591270	0.771990	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
167	nan	nan	nan	nan	nan	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
746	nan	nan	nan	nan	nan	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
632	nan	nan	nan	nan	nan	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
696	nan	nan	nan	nan	nan	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
318	nan	0.704570	0.688200	0.591270	0.771990	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
450	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
646	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
134	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
9	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
207	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
273	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
405	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
277	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
791	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
23	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
153	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
535	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
24	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
412	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
89	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
351	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
225	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
37	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
434	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
441	nan	nan	0.458270	0.380650	0.424220	0.363170	0.303560	0.463650	0.436470	0.499810	0.477130	0.623610	0.397510	0.590920	0.466770
257	nan	0.900710	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
712	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
14	nan	0.900710	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
465	nan	0.900710	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
531	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
343	nan	0.900710	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
408	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
154	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
796	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
