Initial configuration

10400   atoms

7 atom types

-74.0 74.0 xlo xhi 
-74.0 74.0 ylo yhi 
-10.0 10.0 zlo zhi 

Masses

1 1
2 0.1
3 0.1
4 0.1
5 0.1
6 0.1
7 0.1

Atoms # molecular

303 23 1 70.2779 68.2280 -0.1340
304 23 1 69.0758 68.2835 -0.1340
305 23 1 70.2224 69.2316 -0.1340
306 23 1 69.2235 69.2777 -0.1340
307 23 2 70.8329 67.2014 -0.1340
308 23 3 68.4287 67.3122 -0.1340
309 23 4 70.7774 68.2050 -0.1340
310 23 5 68.5764 68.3065 -0.1340
311 23 6 70.7219 69.2086 -0.1340
312 23 7 68.7240 69.3007 -0.1340
313 24 1 -2.0639 45.9929 -0.1340
314 24 1 -1.7377 46.6160 -0.1340
315 24 1 -1.4114 47.2392 -0.1340
316 24 1 -1.1308 45.6192 -0.1340
317 24 1 -0.5727 46.6853 -0.1340
318 24 1 -0.1977 45.2455 -0.1340
319 24 1 0.2661 46.1314 -0.1340
320 24 2 -2.2958 45.5499 -0.1340
321 24 3 -1.1796 47.6821 -0.1340
322 24 4 -1.3627 45.1762 -0.1340
323 24 5 -0.3408 47.1283 -0.1340
324 24 6 -0.4296 44.8025 -0.1340
325 24 7 0.4980 46.5744 -0.1340
326 25 1 -69.0806 -20.2695 -0.1340
327 25 1 -69.0387 -19.5673 -0.1340
328 25 1 -68.9967 -18.8652 -0.1340
329 25 1 -68.0763 -20.2276 -0.1340
330 25 1 -68.0046 -19.0263 -0.1340
331 25 1 -67.0721 -20.1857 -0.1340
332 25 1 -67.0124 -19.1875 -0.1340
333 25 2 -69.1104 -20.7686 -0.1340
334 25 3 -68.9669 -18.3661 -0.1340
335 25 4 -68.1062 -20.7267 -0.1340
336 25 5 -67.9747 -18.5272 -0.1340
337 25 6 -67.1019 -20.6848 -0.1340
338 25 7 -66.9826 -18.6884 -0.1340
339 26 1 57.6944 8.7477 -0.1340
340 26 1 57.8645 8.0652 -0.1340
341 26 1 58.0345 7.3827 -0.1340
342 26 1 56.7487 8.4073 -0.1340
343 26 1 57.0396 7.2396 -0.1340
344 26 1 55.8029 8.0669 -0.1340
345 26 1 56.0446 7.0965 -0.1340
346 26 2 57.5736 9.2329 -0.1340
347 26 3 58.1554 6.8975 -0.1340
348 26 4 56.6278 8.8925 -0.1340
349 26 5 57.1604 6.7544 -0.1340
350 26 6 55.6820 8.5520 -0.1340
351 26 7 56.1655 6.6114 -0.1340
352 27 1 17.9953 25.1529 -0.1340
353 27 1 17.3521 24.8682 -0.1340
354 27 1 16.7089 24.5835 -0.1340
355 27 1 17.4975 26.0262 -0.1340
356 27 1 16.3971 25.5391 -0.1340
357 27 1 16.9998 26.8995 -0.1340
358 27 1 16.0854 26.4947 -0.1340
359 27 2 18.4525 25.3553 -0.1340
360 27 3 16.2517 24.3812 -0.1340
361 27 4 17.9548 26.2286 -0.1340
362 27 5 15.9399 25.3368 -0.1340
363 27 6 17.4570 27.1018 -0.1340
364 27 7 15.6282 26.2924 -0.1340
365 28 1 -70.8391 41.1302 -0.1340
366 28 1 -71.3959 40.7004 -0.1340
367 28 1 -71.9527 40.2707 -0.1340
368 28 1 -71.5305 41.8597 -0.1340
369 28 1 -72.4832 41.1245 -0.1340
370 28 1 -72.2220 42.5892 -0.1340
371 28 1 -73.0137 41.9782 -0.1340
372 28 2 -70.4432 41.4357 -0.1340
373 28 3 -72.3485 39.9652 -0.1340
374 28 4 -71.1347 42.1652 -0.1340
375 28 5 -72.8790 40.8190 -0.1340
376 28 6 -71.8262 42.8947 -0.1340
377 28 7 -73.4095 41.6727 -0.1340
378 29 1 -65.0374 58.0660 -0.1340
379 29 1 -64.4300 58.4208 -0.1340
380 29 1 -63.8227 58.7755 -0.1340
381 29 1 -64.4452 57.2538 -0.1340
382 29 1 -63.4061 57.8608 -0.1340
383 29 1 -63.8530 56.4416 -0.1340
384 29 1 -62.9895 56.9460 -0.1340
385 29 2 -65.4691 57.8138 -0.1340
386 29 3 -63.3909 59.0277 -0.1340
387 29 4 -64.8769 57.0016 -0.1340
388 29 5 -62.9743 58.1130 -0.1340
389 29 6 -64.2847 56.1894 -0.1340
390 29 7 -62.5578 57.1982 -0.1340
391 30 1 -51.6217 18.7725 -0.1340
392 30 1 -52.3224 18.8335 -0.1340
393 30 1 -53.0232 18.8944 -0.1340
394 30 1 -51.6364 19.7776 -0.1340
395 30 1 -52.8352 19.8818 -0.1340
396 30 1 -51.6511 20.7826 -0.1340
397 30 1 -52.6473 20.8693 -0.1340
398 30 2 -51.1236 18.7292 -0.1340
399 30 3 -53.5213 18.9377 -0.1340
400 30 4 -51.1383 19.7343 -0.1340
401 30 5 -53.3334 19.9252 -0.1340
402 30 6 -51.1529 20.7393 -0.1340
403 30 7 -53.1454 20.9126 -0.1340
404 31 1 -19.9460 -0.7829 -0.1340
405 31 1 -20.5504 -0.4230 -0.1340
406 31 1 -21.1547 -0.0632 -0.1340
407 31 1 -19.5218 0.1284 -0.1340
408 31 1 -20.5557 0.7440 -0.1340
409 31 1 -19.0975 1.0396 -0.1340
410 31 1 -19.9568 1.5512 -0.1340
411 31 2 -19.5164 -1.0387 -0.1340
412 31 3 -21.5843 0.1927 -0.1340
