MolID	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
177	nan	0.781740	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
763	nan	0.781740	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
509	nan	0.781740	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
64	nan	0.376560	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
323	nan	0.376560	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
70	nan	0.376560	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
135	nan	0.518920	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
136	nan	0.376560	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
458	nan	0.518920	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
77	nan	0.518920	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
398	nan	0.518920	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
15	nan	0.518920	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
720	nan	0.518920	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
83	nan	0.376560	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
467	nan	0.518920	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
152	nan	0.518920	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
95	nan	0.376560	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
741	nan	0.518920	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
438	nan	0.518920	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
312	nan	0.518920	nan	0.409660	0.509040	0.645770	0.591190	0.298060	0.491940	0.384550	0.351760	0.392990	0.411200	0.507300	0.258670
257	nan	nan	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
392	nan	nan	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
456	nan	nan	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
86	nan	nan	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
343	nan	0.575040	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
24	nan	0.575040	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
410	nan	nan	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
283	nan	0.575040	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
220	nan	nan	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
606	nan	0.575040	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
98	nan	0.575040	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
293	nan	0.575040	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
421	nan	0.575040	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
37	nan	nan	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
553	nan	0.575040	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
362	nan	0.575040	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
494	nan	nan	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
239	nan	0.575040	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
434	nan	0.575040	0.642260	0.451120	0.441000	0.437030	0.425980	0.294550	0.584270	0.477610	0.353960	0.256610	0.400080	0.369160	0.514900
513	nan	0.647220	0.691600	nan	0.504110	0.561650	0.188300	0.359390	0.376600	0.248670	0.441450	0.432550	0.299810	0.360940	0.294050
