# MolID	Frame0	Frame1	Frame2	Frame3	Frame4	Frame5	Frame6	Frame7	Frame8	Frame9	Frame10	Frame11	Frame12	Frame13	Frame14
293	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
294	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
295	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
296	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
297	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
298	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
299	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
300	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
301	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
302	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
303	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
304	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
305	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
306	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
307	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
308	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
309	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
310	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
311	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
312	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
313	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
314	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
315	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
316	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
317	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
318	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
319	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
320	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
321	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
322	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
323	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
324	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
325	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
326	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
327	2	3	2	2	2	2	2	2	2	2	2	2	4	2	2
328	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
329	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
330	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
331	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
332	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
333	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
334	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
335	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
336	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
337	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
338	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
339	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
340	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
